L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.07086533,1.421018,0.03168627,0.8850875,-0.6374723,-0.1578622,49.85835,-43.33456,-15.22672,4.374104
L,-0.06267622,1.41754,0.0311969,0.2950016,-0.1253049,-0.01762892,-21.25704,18.45013,5.051712,4.401863
L,-0.05951021,1.412988,0.02875234,0.1160607,-0.1668691,-0.08961357,-6.559681,-1.523678,-2.63884,4.429142
L,-0.05561386,1.426378,0.03296029,0.2305657,0.7924026,0.2490043,6.775803,56.76464,20.03761,4.446041
L,-0.05181496,1.431712,0.03482085,0.1553842,0.21816,0.07610148,-3.075111,-23.48795,-7.072153,4.47049
L,-0.04256847,1.420681,0.03252186,0.5883284,-0.7018583,-0.1462786,27.54702,-58.53817,-14.14942,4.486206
L,-0.03632174,1.416424,0.03179718,0.2378076,-0.162077,-0.02758782,-13.34402,20.549,4.518456,4.512474
L,-0.03948708,1.415298,0.03025649,-0.2052883,-0.07302233,-0.09992165,-28.73699,5.775645,-4.691212,4.527893
L,-0.0429944,1.421357,0.03312191,-0.1348721,0.2330021,0.1101882,2.707819,11.768,8.079659,4.553898
L,-0.04958116,1.422746,0.03710563,-0.3975776,0.08381303,0.2404579,-15.85694,-9.005068,7.863095,4.570465
L,-0.05096231,1.423222,0.03862266,-0.05436344,0.01875469,0.05971196,13.50924,-2.560759,-7.114333,4.595871
L,-0.05361594,1.421556,0.03820265,-0.1702476,-0.1068894,-0.02694653,-7.434739,-8.060901,-5.559717,4.611458
L,-0.05453342,1.421152,0.03815598,-0.03502456,-0.01541339,-0.001781761,5.162067,3.492046,0.9606513,4.637653
L,-0.05518357,1.421013,0.03865417,-0.02352755,-0.005051594,0.01802839,0.4160507,0.37497,0.7168846,4.665287
